Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 18:04:38,2017-10-22 18:05:04,26.247s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 18:04:39,2017-10-22 18:04:54,15.689s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 18:04:39,2017-10-22 18:04:42,2.908s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 18:04:42,2017-10-22 18:04:47,5.539s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:04:48,2017-10-22 18:04:48,0.175s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:04:48,2017-10-22 18:04:48,0.136s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:04:48,2017-10-22 18:04:48,0.121s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:04:48,2017-10-22 18:04:52,3.997s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:04:52,2017-10-22 18:04:53,0.937s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:04:53,2017-10-22 18:04:53,0.142s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 18:04:53,2017-10-22 18:04:53,0.073s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:04:53,2017-10-22 18:04:53,0.090s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 18:04:53,2017-10-22 18:04:53,0.039s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 18:04:53,2017-10-22 18:04:54,0.994s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 18:04:54,2017-10-22 18:05:04,10.051s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 18:04:54,2017-10-22 18:05:01,6.847s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:05:01,2017-10-22 18:05:01,0.212s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:05:01,2017-10-22 18:05:02,0.162s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:05:02,2017-10-22 18:05:03,1.729s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 18:05:03,2017-10-22 18:05:03,0.139s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 18:05:03,2017-10-22 18:05:04,0.842s,PASSED
