Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 15:15:53,2017-10-22 15:16:25,31.507s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 15:15:54,2017-10-22 15:16:09,15.580s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:15:55,2017-10-22 15:15:58,3.259s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 15:15:58,2017-10-22 15:16:03,5.179s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:16:03,2017-10-22 15:16:03,0.136s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:16:03,2017-10-22 15:16:03,0.142s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:16:03,2017-10-22 15:16:03,0.124s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:16:03,2017-10-22 15:16:07,3.267s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:16:07,2017-10-22 15:16:07,0.769s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:16:07,2017-10-22 15:16:08,0.147s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 15:16:08,2017-10-22 15:16:08,0.071s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:16:08,2017-10-22 15:16:08,0.097s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 15:16:08,2017-10-22 15:16:08,0.038s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:16:08,2017-10-22 15:16:09,1.610s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 15:16:10,2017-10-22 15:16:25,15.449s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:16:10,2017-10-22 15:16:20,10.341s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:16:20,2017-10-22 15:16:20,0.121s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:16:20,2017-10-22 15:16:20,0.117s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:16:20,2017-10-22 15:16:24,3.448s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 15:16:24,2017-10-22 15:16:24,0.154s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:16:24,2017-10-22 15:16:25,1.007s,PASSED
