Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 17:54:26,2017-10-22 17:54:52,26.052s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 17:54:27,2017-10-22 17:54:41,14.396s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:54:27,2017-10-22 17:54:30,3.216s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 17:54:30,2017-10-22 17:54:34,3.911s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:54:34,2017-10-22 17:54:34,0.118s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:54:34,2017-10-22 17:54:35,0.120s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:54:35,2017-10-22 17:54:35,0.122s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:54:35,2017-10-22 17:54:39,4.193s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:54:39,2017-10-22 17:54:40,0.979s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:54:40,2017-10-22 17:54:40,0.155s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 17:54:40,2017-10-22 17:54:40,0.054s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:54:40,2017-10-22 17:54:40,0.084s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 17:54:40,2017-10-22 17:54:40,0.034s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 17:54:40,2017-10-22 17:54:41,0.924s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 17:54:41,2017-10-22 17:54:52,11.296s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:54:41,2017-10-22 17:54:48,6.567s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:54:48,2017-10-22 17:54:48,0.130s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:54:48,2017-10-22 17:54:48,0.099s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:54:48,2017-10-22 17:54:51,3.323s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 17:54:51,2017-10-22 17:54:52,0.163s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 17:54:52,2017-10-22 17:54:52,0.873s,PASSED
