Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,JBrowser (headless),,2017-10-22 14:53:48,2017-10-22 14:55:09,1m - 20.823s,FAILED
,,,,,,
Test Cases/Lgon/TC01,JBrowser (headless),,2017-10-22 14:53:48,2017-10-22 14:55:08,1m - 20.370s,FAILED
openBrowser,JBrowser (headless),,2017-10-22 14:53:49,2017-10-22 14:53:51,2.655s,PASSED
navigateToUrl,JBrowser (headless),,2017-10-22 14:53:51,2017-10-22 14:53:55,3.668s,PASSED
click,JBrowser (headless),,2017-10-22 14:53:55,2017-10-22 14:53:55,0.202s,PASSED
setText,JBrowser (headless),,2017-10-22 14:53:55,2017-10-22 14:53:56,0.973s,PASSED
setText,JBrowser (headless),,2017-10-22 14:53:56,2017-10-22 14:53:57,0.857s,PASSED
click,JBrowser (headless),,2017-10-22 14:53:57,2017-10-22 14:53:57,0.062s,PASSED
click,JBrowser (headless),,2017-10-22 14:53:57,2017-10-22 14:54:03,5.591s,PASSED
setText,JBrowser (headless),,2017-10-22 14:54:03,2017-10-22 14:54:06,3.296s,PASSED
sendKeys,JBrowser (headless),,2017-10-22 14:54:06,2017-10-22 14:54:06,0.357s,PASSED
click,JBrowser (headless),,2017-10-22 14:54:06,2017-10-22 14:54:37,30.688s,FAILED
verifyElementPresent,JBrowser (headless),,2017-10-22 14:54:37,2017-10-22 14:55:08,30.669s,FAILED
closeBrowser,JBrowser (headless),,2017-10-22 14:55:08,2017-10-22 14:55:08,0.650s,PASSED
