Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 17:55:44,2017-10-22 17:58:18,2m - 33.599s,FAILED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 17:55:44,2017-10-22 17:57:51,2m - 6.833s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:55:45,2017-10-22 17:55:48,2.855s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 17:55:48,2017-10-22 17:56:02,14.223s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:56:02,2017-10-22 17:56:02,0.114s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:56:02,2017-10-22 17:56:02,0.162s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:56:02,2017-10-22 17:56:03,0.139s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:56:03,2017-10-22 17:57:50,1m - 47.614s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:50,0.101s,FAILED
setText,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:50,0.021s,FAILED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:50,0.049s,FAILED
click,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:50,0.022s,FAILED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:50,0.031s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 17:57:50,2017-10-22 17:57:51,0.946s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 17:57:51,2017-10-22 17:58:18,26.239s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:57:52,2017-10-22 17:57:59,7.479s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:57:59,2017-10-22 17:57:59,0.150s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:57:59,2017-10-22 17:57:59,0.113s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:57:59,2017-10-22 17:58:17,17.429s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 17:58:17,2017-10-22 17:58:17,0.126s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 17:58:17,2017-10-22 17:58:18,0.817s,PASSED
