Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 16:38:04,2017-10-22 16:38:59,55.208s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 16:38:04,2017-10-22 16:38:38,33.829s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 16:38:05,2017-10-22 16:38:10,4.379s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 16:38:10,2017-10-22 16:38:16,6.514s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 16:38:16,2017-10-22 16:38:16,0.224s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 16:38:16,2017-10-22 16:38:17,0.208s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 16:38:17,2017-10-22 16:38:17,0.216s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 16:38:17,2017-10-22 16:38:35,18.538s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 16:38:35,2017-10-22 16:38:36,0.824s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 16:38:36,2017-10-22 16:38:36,0.209s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 16:38:36,2017-10-22 16:38:37,0.128s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 16:38:37,2017-10-22 16:38:37,0.123s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 16:38:37,2017-10-22 16:38:37,0.048s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 16:38:37,2017-10-22 16:38:38,1.215s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 16:38:38,2017-10-22 16:38:59,20.839s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 16:38:38,2017-10-22 16:38:54,15.977s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 16:38:54,2017-10-22 16:38:54,0.182s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 16:38:54,2017-10-22 16:38:54,0.171s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 16:38:54,2017-10-22 16:38:58,3.377s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 16:38:58,2017-10-22 16:38:58,0.150s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 16:38:58,2017-10-22 16:38:59,0.808s,PASSED
