Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,JBrowser (headless),,2017-10-22 14:52:03,2017-10-22 14:53:46,1m - 42.750s,FAILED
,,,,,,
Test Cases/Lgon/TC01,JBrowser (headless),,2017-10-22 14:52:03,2017-10-22 14:53:28,1m - 24.944s,FAILED
openBrowser,JBrowser (headless),,2017-10-22 14:52:04,2017-10-22 14:52:09,5.043s,PASSED
navigateToUrl,JBrowser (headless),,2017-10-22 14:52:09,2017-10-22 14:52:14,4.341s,PASSED
click,JBrowser (headless),,2017-10-22 14:52:14,2017-10-22 14:52:14,0.345s,PASSED
setText,JBrowser (headless),,2017-10-22 14:52:14,2017-10-22 14:52:15,1.129s,PASSED
setText,JBrowser (headless),,2017-10-22 14:52:15,2017-10-22 14:52:16,1.028s,PASSED
click,JBrowser (headless),,2017-10-22 14:52:16,2017-10-22 14:52:16,0.112s,PASSED
click,JBrowser (headless),,2017-10-22 14:52:16,2017-10-22 14:52:22,6.052s,PASSED
setText,JBrowser (headless),,2017-10-22 14:52:22,2017-10-22 14:52:26,3.654s,PASSED
sendKeys,JBrowser (headless),,2017-10-22 14:52:26,2017-10-22 14:52:26,0.355s,PASSED
click,JBrowser (headless),,2017-10-22 14:52:26,2017-10-22 14:52:57,30.840s,FAILED
verifyElementPresent,JBrowser (headless),,2017-10-22 14:52:57,2017-10-22 14:53:28,30.479s,FAILED
closeBrowser,JBrowser (headless),,2017-10-22 14:53:28,2017-10-22 14:53:28,0.717s,PASSED
,,,,,,
Test Cases/TC02,JBrowser (headless),,2017-10-22 14:53:28,2017-10-22 14:53:46,17.214s,PASSED
openBrowser,JBrowser (headless),,2017-10-22 14:53:29,2017-10-22 14:53:34,5.046s,PASSED
setText,JBrowser (headless),,2017-10-22 14:53:34,2017-10-22 14:53:35,0.878s,PASSED
setText,JBrowser (headless),,2017-10-22 14:53:35,2017-10-22 14:53:35,0.821s,PASSED
click,JBrowser (headless),,2017-10-22 14:53:35,2017-10-22 14:53:36,0.105s,PASSED
verifyTextPresent,JBrowser (headless),,2017-10-22 14:53:36,2017-10-22 14:53:45,9.743s,PASSED
closeBrowser,JBrowser (headless),,2017-10-22 14:53:45,2017-10-22 14:53:46,0.301s,PASSED
