Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 23:33:52,2017-10-22 23:34:45,53.431s,FAILED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 23:33:53,2017-10-22 23:34:45,52.446s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 23:33:55,2017-10-22 23:34:23,27.131s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 23:34:23,2017-10-22 23:34:29,6.083s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 23:34:29,2017-10-22 23:34:29,0.448s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 23:34:29,2017-10-22 23:34:29,0.190s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 23:34:30,2017-10-22 23:34:30,0.157s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 23:34:30,2017-10-22 23:34:38,7.657s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 23:34:38,2017-10-22 23:34:39,1.037s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 23:34:39,2017-10-22 23:34:39,0.245s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 23:34:39,2017-10-22 23:34:39,0.062s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 23:34:39,2017-10-22 23:34:39,0.116s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 23:34:39,2017-10-22 23:34:39,0.028s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 23:34:39,2017-10-22 23:34:45,6.069s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-22 23:34:45,2017-10-22 23:34:45,0.168s,FAILED
acceptAlert,Chrome 61.0.3163.100,,2017-10-22 23:34:45,2017-10-22 23:34:45,0.027s,FAILED
