Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 15:21:26,2017-10-22 15:21:56,30.423s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 15:21:26,2017-10-22 15:21:45,19.364s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:21:27,2017-10-22 15:21:30,3.583s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 15:21:30,2017-10-22 15:21:39,8.537s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:21:39,2017-10-22 15:21:39,0.143s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:21:39,2017-10-22 15:21:39,0.146s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:21:39,2017-10-22 15:21:39,0.122s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:21:39,2017-10-22 15:21:43,4.014s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:21:43,2017-10-22 15:21:44,0.792s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:21:44,2017-10-22 15:21:44,0.136s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 15:21:44,2017-10-22 15:21:44,0.124s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:21:44,2017-10-22 15:21:44,0.111s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 15:21:44,2017-10-22 15:21:44,0.039s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:21:44,2017-10-22 15:21:45,0.958s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 15:21:46,2017-10-22 15:21:56,10.649s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:21:46,2017-10-22 15:21:53,7.347s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:21:53,2017-10-22 15:21:53,0.130s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:21:53,2017-10-22 15:21:53,0.114s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:21:53,2017-10-22 15:21:55,2.003s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 15:21:55,2017-10-22 15:21:55,0.100s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:21:55,2017-10-22 15:21:56,0.796s,PASSED
